"V-neck t-shirt in a soft cotton blend, Distressed jeans in a light wash, Leather jacket with quilted panels, High-top sneakers in a canvas material, Bracelet with wooden beads"
"Henley shirt in a lightweight fabric, Athletic joggers in a tapered fit, Parka with a fur-lined hood, Running shoes with a breathable mesh upper, Beanie hat in a knit fabric"
"Long-sleeve shirt with a denim finish, Corduroy pants in a slim fit, Windbreaker in a bold color-block design, Desert boots in a beige suede, Leather wallet with multiple card slots"
"Slim-fit polo shirt in a solid color, Chino pants in a versatile beige color, Denim jacket with distressed details, Black leather dress shoes with a polished finish, Wayfarer sunglasses with polarized lenses"
"Long-sleeve shirt with a denim finish, Corduroy pants in a slim fit, Windbreaker in a bold color-block design, Desert boots in a beige suede, Leather wallet with multiple card slots"
"Short-sleeve shirt with a floral print, Board shorts with a tropical print, Trench coat in a beige color, Slip-on shoes with a woven texture, Scarf in a wool blend fabric"
"V-neck t-shirt in a soft cotton blend, Distressed jeans in a light wash, Leather jacket with quilted panels, High-top sneakers in a canvas material, Bracelet with wooden beads"
"Casual button-up shirt in a plaid pattern, Slim-fit jeans in a dark wash, Bomber jacket in a classic black color, White sneakers with a minimalist design, Classic wristwatch with a leather strap"
"Slim-fit polo shirt in a solid color, Chino pants in a versatile beige color, Denim jacket with distressed details, Black leather dress shoes with a polished finish, Wayfarer sunglasses with polarized lenses"
"Dress shirt with a classic fit and striped pattern, Dress trousers with a straight leg, Peacoat in a navy wool fabric, Loafers with a tassel detail, Silk tie with a geometric pattern"
"Hoodie in a relaxed fit with a kangaroo pocket, Sweatpants in a relaxed fit, Harrington jacket in a lightweight fabric, Oxford shoes with brogue detailing, Cufflinks with a sleek metal finish"
"Long-sleeve shirt with a denim finish, Corduroy pants in a slim fit, Windbreaker in a bold color-block design, Desert boots in a beige suede, Leather wallet with multiple card slots"
"Sweater with a crew neck and cable knit, Tailored shorts in a pastel color, Puffer jacket with a high collar, Boat shoes in a classic brown color, Cap with an embroidered logo"
"Long-sleeve shirt with a denim finish, Corduroy pants in a slim fit, Windbreaker in a bold color-block design, Desert boots in a beige suede, Leather wallet with multiple card slots"
"Dress shirt with a classic fit and striped pattern, Dress trousers with a straight leg, Peacoat in a navy wool fabric, Loafers with a tassel detail, Silk tie with a geometric pattern"
"Henley shirt in a lightweight fabric, Athletic joggers in a tapered fit, Parka with a fur-lined hood, Running shoes with a breathable mesh upper, Beanie hat in a knit fabric"
"Hoodie in a relaxed fit with a kangaroo pocket, Sweatpants in a relaxed fit, Harrington jacket in a lightweight fabric, Oxford shoes with brogue detailing, Cufflinks with a sleek metal finish"
"Dress shirt with a classic fit and striped pattern, Dress trousers with a straight leg, Peacoat in a navy wool fabric, Loafers with a tassel detail, Silk tie with a geometric pattern"
"Long-sleeve shirt with a denim finish, Corduroy pants in a slim fit, Windbreaker in a bold color-block design, Desert boots in a beige suede, Leather wallet with multiple card slots"
"Henley shirt in a lightweight fabric, Athletic joggers in a tapered fit, Parka with a fur-lined hood, Running shoes with a breathable mesh upper, Beanie hat in a knit fabric"
"Slim-fit polo shirt in a solid color, Chino pants in a versatile beige color, Denim jacket with distressed details, Black leather dress shoes with a polished finish, Wayfarer sunglasses with polarized lenses"
"Dress shirt with a classic fit and striped pattern, Dress trousers with a straight leg, Peacoat in a navy wool fabric, Loafers with a tassel detail, Silk tie with a geometric pattern"
"Casual button-up shirt in a plaid pattern, Slim-fit jeans in a dark wash, Bomber jacket in a classic black color, White sneakers with a minimalist design, Classic wristwatch with a leather strap"
"Graphic tee with a retro design, Cargo shorts with multiple pockets, Blazer with a modern slim fit, Chelsea boots in a suede material, Leather belt with a silver buckle"
"Short-sleeve shirt with a floral print, Board shorts with a tropical print, Trench coat in a beige color, Slip-on shoes with a woven texture, Scarf in a wool blend fabric"
"Long-sleeve shirt with a denim finish, Corduroy pants in a slim fit, Windbreaker in a bold color-block design, Desert boots in a beige suede, Leather wallet with multiple card slots"
"Hoodie in a relaxed fit with a kangaroo pocket, Sweatpants in a relaxed fit, Harrington jacket in a lightweight fabric, Oxford shoes with brogue detailing, Cufflinks with a sleek metal finish"
